product_name,product_url,product_type,size_option,price_usd,compare_at_price_usd,sku,grams,available,variant_id
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,*3.00,3.00,,Insure01,0,True,44685379010754
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,1.00,1.00,,Insure01,0,True,44685379043522
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,2.01,2.01,,Insure01,0,True,44685379076290
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,3.02,3.02,,Insure01,0,True,44685379109058
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,4.03,4.03,,Insure01,0,True,44685379141826
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,5.04,5.04,,Insure01,0,True,44685379174594
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,6.05,6.05,,Insure01,0,True,44685379207362
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,7.06,7.06,,Insure01,0,True,44685379240130
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,8.07,8.07,,Insure01,0,True,44685379272898
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,9.08,9.08,,Insure01,0,True,44685379305666
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,10.09,10.09,,Insure01,0,True,44685379338434
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,11.10,11.10,,Insure01,0,True,44685379371202
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,12.11,12.11,,Insure01,0,True,44685379403970
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,13.12,13.12,,Insure01,0,True,44685379436738
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,14.13,14.13,,Insure01,0,True,44685379469506
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,15.14,15.14,,Insure01,0,True,44685379502274
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,16.15,16.15,,Insure01,0,True,44685379535042
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,17.16,17.16,,Insure01,0,True,44685379567810
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,18.17,18.17,,Insure01,0,True,44685379600578
Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,19.18,19.18,,Insure01,0,True,44685379633346
