product_id,product_name,product_url,product_type,vendor,tags,num_variants,min_price_usd,max_price_usd,image_url,description
7978498195650,Shipping Insurance,https://www.bulksupplements.com/products/shipping-insurance,ShopWill,ShopWill,Top Seller,100,1.0,99.98,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/c5ee24962ccd0ee17cbebba38eb0c73c.svg?v=1759467060,
8490562683074,Oil of Oregano with Black Seed Oil Softgels,https://www.bulksupplements.com/products/oil-of-oregano-with-black-seed-oil,Herb Supplement,BulkSupplements.com,Els PW 8602; Form_Softgel,1,24.97,24.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Oil-of-Oregano-With-Black-Seed-Oil-Main-Image-V001.jpg?v=1776883519,"Oil of Oregano with Black Seed Oil Softgels are designed for effortless daily use, delivering a convenient way to incorporate this powerful blend into your routine. These easy-to-swallow oil of oregano with black seed oil softgels provide a simple alternative to liquid forms, helping you stay consistent without added preparation. Combining oregano oil capsules with black seed oil, this formula fits seamlessly into structured wellness plans. Experience the ease of a premium oil of oregano with bl"
8489519612098,Saffron Extract Powder,https://www.bulksupplements.com/products/saffron-extract-powder,Herb Extract,BulkSupplements.com,Antioxidants; brain; Brain Function; Brain Health; Digestion; Els PW 8602; Form_capsules; Herbal; Herbal Supplements; Mood Support; Prop65,4,25.97,84.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Saffron-Extract-Powder-25g-Main-Image-V001.jpg?v=1776795915,"Saffron extract powder, derived from the vibrant stigmas of the Crocus sativus flower, capture nature's elegance in a potent, easy-to-consume form. These capsules are not only a testament to the flower's delicate beauty but also to the meticulous care and precision involved in its harvesting. This process, steeped in tradition, combines wellness with a touch of luxury, offering a unique way to incorporate the benefits of saffron into your daily routine."
8185341575362,Castor Oil Softgels,https://www.bulksupplements.com/products/castor-oil-pills,Herbal Supplement,BulkSupplements.com,Digestion; Els PW 8602; Form_Softgel; Immune Support; Joint Health; NEW PRODUCT; Prop65,1,20.97,20.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Castor-Oil-Softgels-240ct-Main-Image-V001.jpg?v=1759176638,"Castor Oil Softgels are a herbal and dietary supplement traditionally valued in wellness practices for their naturally occurring compounds. Each softgel provides 750 milligrams, making it a convenient way to incorporate this time-honored ingredient into your daily routine. Castor oil is often recognized for its antioxidant properties and has long been associated with supporting overall wellness, balance, and digestive health. Easy to take and simple to integrate, these softgels provide a practic"
8153830359234,Magnesium Taurate Powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,Magnesium Mineral,BulkSupplements.com,Els PW 8602; Form_Powder; Magnesium; Mens Health; mineral supplements; NEW PRODUCT; Prop65,5,19.97,44.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Magnesium-Taurate-Powder-250g-Main-Image-V003.jpg?v=1780514359,"Magnesium Taurate Powder offers a simple way to add this unique combination of magnesium and taurine to your daily routine. This thoughtfully blended compound provides magnesium together with the amino acid taurine, delivering a balanced option for those looking to expand their supplement lineup. With its easy-to-use powder form, it can be seamlessly integrated into your wellness collection, making it a versatile choice for anyone seeking consistent nutritional support."
8153821249730,Golden Milk Powder,https://www.bulksupplements.com/products/golden-milk-powder,Herbal Supplement,BulkSupplements.com,Brain Health; Digestion; Els PW 8602; Form_Powder; Herbal Supplements; Immune Support; NEW PRODUCT; Prop65,4,18.97,40.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Golden-Milk-Powder-500g-Main-Image-V001.jpg?v=1757607031,"Golden Milk Powder brings a warm and comforting touch to your daily routine. Crafted with a flavorful blend of traditional spices, this easy-to-use powder offers a simple way to add variety to your wellness habits. Whether you're exploring something new or keeping things consistent, its rich aroma and inviting taste make it an appealing choice for everyday enjoyment."
8142019788994,Maqui Berry Capsules,https://www.bulksupplements.com/products/maqui-berry-capsules,Herbal Supplement,BulkSupplements.com,Antioxidants; Els PW 8602; Form_capsules; Heart health; Herbal Supplements; Immune Support; Prop65,5,19.97,43.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Maqui-Berry-Capsules-240ct-Main-Image-V001.jpg?v=1755794910,"Maqui Berry Capsules bring a superfruit boost to your daily routine in a simple, easy-to-take form. Sourced from a berry long valued in wellness traditions, they’re a great pick for anyone looking to stay consistent without extra effort. Whether you’re starting something new or keeping your routine steady, these capsules fit right in."
8135481131202,Kudzu Root Capsules,https://www.bulksupplements.com/products/kudzu-capsules,Herbal Supplement,BulkSupplements.com,Antioxidants; Capsules; Els PW 8602; Form_capsules; Heart health; Herbal Supplements; Liver Health; NEW PRODUCT; Prop65,5,22.97,80.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Kudzu-Root-Extract-Capsules-180ct-Main-Image-V001.jpg?v=1755285781,"Kudzu Root Capsules offer a simple way to incorporate this time-honored botanical into your daily routine. Each capsule is made for ease of use, whether you're just starting your supplement journey or expanding an established regimen. Known for its long-standing role in traditional practices, Kudzu Root brings a sense of heritage to your wellness lineup without added complexity."
8129277427906,Pumpkin Seed Oil with Saw Palmetto Softgels,https://www.bulksupplements.com/products/saw-palmetto-pumpkin-seed-oil-supplement,Herbal Supplement,BulkSupplements.com,Els PW 8602; Form_Softgel; hair; hair growth; Hair Health; hair loss; Heart health; Mens Health; NEW PRODUCT; Prop65; pumpkin oil; pumpkin seed; saw palem; saw palmetto berry powder; saw palmetto liquid for topical; saw pelm; saw plemmtt; sawpalm; Softgels; Top Seller; Urinary Tract Support,1,24.97,24.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Pumpkin-Seed-Oil-with-Saw-Palmetto-Softgels-270ct-Main-Image-V001.jpg?v=1754588461,"Pumpkin Seed Oil with Saw Palmetto Oil softgels combine two traditional herbal ingredients into one convenient supplement. Each serving of three softgels provides 3000mg of pumpkin seed oil along with 300mg of saw palmetto oil. Both have a long history of use in wellness practices and are often chosen for their supportive roles in promoting balance and vitality. This blend offers dual support, making it a versatile option for everyday routines. Formulated for adults and especially valued by men,"
8129231913154,Melatonin Softgels - 20 mg Serving,https://www.bulksupplements.com/products/melatonin-pills-20mg,Vitamins & Supplements,BulkSupplements.com,Els PW 8602; Form_Softgel; Melatonin; melatonin gummies; melatonin tablet; NEW SLEEP; pill melatonin; Prop65; pure melatonin; sleep; Sleep Support; Softgels; Weight Management; Womens Health,1,19.97,19.97,https://cdn.shopify.com/s/files/1/0114/8869/0276/files/Melatonin-Softgels-20mg-360ct-Main-Image-V001.jpg?v=1754583062,"Melatonin is a compound naturally produced in the body that helps regulate the sleep and wake cycle. As a dietary supplement, it is often chosen by adults who want support for a balanced nighttime routine. We offer melatonin in a range of dosages—1mg, 2mg, 3mg, 5mg, 10mg, and 20mg per serving—so you can select the option that best fits your individual wellness needs. Known for its role in encouraging relaxation and supporting healthy sleep patterns, melatonin is a trusted choice for those who wa"
